6.8000000000E+2,-2.0752396095E+0,-1.1389679739E+6,-2.0250850575E+1,-2.8087396677E+0,-1.5576163960E+6,-2.7694419521E+1
6.8007000000E+2,-2.0751328151E+0,-1.1389095128E+6,-2.0249811138E+1,-2.8085883014E+0,-1.5575324739E+6,-2.7692927386E+1
6.8014000000E+2,-2.0750260372E+0,-1.1388510607E+6,-2.0248771860E+1,-2.8084369585E+0,-1.5574485648E+6,-2.7691435482E+1
6.8021000000E+2,-2.0749192758E+0,-1.1387926177E+6,-2.0247732742E+1,-2.8082856390E+0,-1.5573646686E+6,-2.7689943808E+1
6.8028000000E+2,-2.0748125309E+0,-1.1387341836E+6,-2.0246693785E+1,-2.8081343428E+0,-1.5572807854E+6,-2.7688452364E+1
6.8035000000E+2,-2.0747058024E+0,-1.1386757586E+6,-2.0245654987E+1,-2.8079830700E+0,-1.5571969151E+6,-2.7686961150E+1
6.8042000000E+2,-2.0745990904E+0,-1.1386173425E+6,-2.0244616350E+1,-2.8078318205E+0,-1.5571130577E+6,-2.7685470167E+1
6.8049000000E+2,-2.0744923949E+0,-1.1385589354E+6,-2.0243577872E+1,-2.8076805944E+0,-1.5570292133E+6,-2.7683979413E+1
6.8056000000E+2,-2.0743857158E+0,-1.1385005374E+6,-2.0242539554E+1,-2.8075293916E+0,-1.5569453818E+6,-2.7682488889E+1
6.8063000000E+2,-2.0742790532E+0,-1.1384421483E+6,-2.0241501396E+1,-2.8073782121E+0,-1.5568615633E+6,-2.7680998595E+1
6.8070000000E+2,-2.0741724071E+0,-1.1383837682E+6,-2.0240463398E+1,-2.8072270560E+0,-1.5567777576E+6,-2.7679508531E+1
6.8077000000E+2,-2.0740657773E+0,-1.1383253971E+6,-2.0239425560E+1,-2.8070759232E+0,-1.5566939649E+6,-2.7678018697E+1
6.8084000000E+2,-2.0739591641E+0,-1.1382670350E+6,-2.0238387881E+1,-2.8069248137E+0,-1.5566101851E+6,-2.7676529092E+1
6.8091000000E+2,-2.0738525673E+0,-1.1382086818E+6,-2.0237350363E+1,-2.8067737274E+0,-1.5565264183E+6,-2.7675039717E+1
6.8098000000E+2,-2.0737459869E+0,-1.1381503376E+6,-2.0236313003E+1,-2.8066226645E+0,-1.5564426643E+6,-2.7673550571E+1
6.8105000000E+2,-2.0736394229E+0,-1.1380920025E+6,-2.0235275804E+1,-2.8064716249E+0,-1.5563589232E+6,-2.7672061655E+1
6.8112000000E+2,-2.0735328754E+0,-1.1380336762E+6,-2.0234238764E+1,-2.8063206086E+0,-1.5562751951E+6,-2.7670572969E+1
6.8119000000E+2,-2.0734263442E+0,-1.1379753590E+6,-2.0233201883E+1,-2.8061696155E+0,-1.5561914798E+6,-2.7669084512E+1
6.8126000000E+2,-2.0733198296E+0,-1.1379170507E+6,-2.0232165162E+1,-2.8060186458E+0,-1.5561077775E+6,-2.7667596284E+1
6.8133000000E+2,-2.0732133313E+0,-1.1378587514E+6,-2.0231128601E+1,-2.8058676993E+0,-1.5560240880E+6,-2.7666108285E+1
6.8140000000E+2,-2.0731068494E+0,-1.1378004611E+6,-2.0230092198E+1,-2.8057167760E+0,-1.5559404115E+6,-2.7664620516E+1
6.8147000000E+2,-2.0730003839E+0,-1.1377421797E+6,-2.0229055955E+1,-2.8055658760E+0,-1.5558567478E+6,-2.7663132976E+1
6.8154000000E+2,-2.0728939349E+0,-1.1376839073E+6,-2.0228019872E+1,-2.8054149993E+0,-1.5557730970E+6,-2.7661645665E+1
6.8161000000E+2,-2.0727875022E+0,-1.1376256439E+6,-2.0226983948E+1,-2.8052641458E+0,-1.5556894591E+6,-2.7660158583E+1
